"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","rule7561","rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 332.5 & total_deductions >= 57",4,"INCLUDE",1.356,0.135,1,85,79,6,0.929,0.141,0.162,13.94,0.067,"unearned_overissuance"
"1","rule6019","rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 2.012 & total_deductions >= 21",4,"INCLUDE",35.815,4.463,1.6,133,115,18,0.865,0.205,0.243,12.97,0.067,"unearned_overissuance"
"1","rule1644","unc_rawben_rel_max >= 1.244 & utilities < 309.5 & elderly_disabled_i %in% c(""TRUE"")",3,"INCLUDE",3.509,0.372,1.1,96,82,14,0.854,0.146,0.17,12.81,0.067,"unearned_overissuance"
"1","rule455","unc_rawben_rel_max >= 1.235 & rawgross < 4.5 & elderly_disabled_i %in% c(""TRUE"")",3,"INCLUDE",24.603,4.424,3.3,282,223,59,0.791,0.397,0.446,11.86,0.067,"unearned_overissuance"
"1","rule202","unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5",3,"INCLUDE",17.904,3.17,3.2,273,209,64,0.766,0.372,0.419,11.48,0.067,"unearned_overissuance"
"1","rule2532","rawgross < 741 & elderly_disabled_i %in% c(""TRUE"") & utilities < 503.5 & unc_rawben_rel_max >= 1.23",4,"INCLUDE",3.372,0.534,2.6,217,161,56,0.742,0.286,0.322,11.13,0.067,"unearned_overissuance"
"1","rule2477","elderly_disabled_i %in% c(""TRUE"") & rawgross < 578 & utilities < 509.5 & total_deductions >= 103",4,"INCLUDE",3.936,0.677,3,257,166,91,0.646,0.295,0.325,9.69,0.067,"unearned_overissuance"
"1","rule6899","expedited_i %in% c(""FALSE"") & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"")",3,"INCLUDE",3.416,0.696,4.3,366,219,147,0.598,0.39,0.446,8.98,0.067,"unearned_overissuance"
"1","rule6901","expedited_i %in% c(""FALSE"") & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n < 4.5",4,"INCLUDE",1.565,0.173,1.2,104,62,42,0.596,0.11,0.134,8.94,0.067,"unearned_overissuance"
"1","rule2818","medical_deductions < 137 & rawunearn < 0.5 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n >= 8.5",4,"INCLUDE",11.771,1.918,2.7,230,136,94,0.591,0.242,0.28,8.87,0.067,"unearned_overissuance"
"1","rule11659","unc_rawben_rel_max >= 1.843 & months_since_cert_n >= 4.5 & shelter_expenses >= 792.5 & cat_elig >= 1.5",4,"INCLUDE",6.501,0.479,0.5,46,27,19,0.587,0.048,0.065,8.8,0.067,"unearned_overissuance"
"1","rule4912","elderly_disabled_i %in% c(""TRUE"") & rawgross < 598.5 & shelter_expenses < 969.5 & total_deductions >= 26",4,"INCLUDE",4.293,0.83,3.9,328,187,141,0.57,0.333,0.366,8.55,0.067,"unearned_overissuance"
"1","rule1943","rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & cat_elig < 1.5 & utilities < 423.5",4,"INCLUDE",8.95,1.515,3,249,138,111,0.554,0.246,0.282,8.31,0.067,"unearned_overissuance"
"1","rule3187","count_divisible_by_100 < 0.5 & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n < 21",4,"INCLUDE",7.776,1.645,4.7,396,218,178,0.551,0.388,0.449,8.26,0.067,"unearned_overissuance"
"1","rule6832","rawearn < 1906 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 50 & expedited_i %in% c(""FALSE"")",4,"INCLUDE",11.159,2.436,5,423,226,197,0.534,0.402,0.464,8.01,0.067,"unearned_overissuance"
"1","rule13646","rawgross < 0.5 & utilities >= 32 & utilities < 352.5",3,"INCLUDE",6.799,0.785,1.4,114,58,56,0.509,0.103,0.128,7.63,0.067,"unearned_overissuance"
"1","rule3274","count_divisible_by_100 < 0.5 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 596 & months_since_cert_n >= 8.5",4,"INCLUDE",0.178,0.033,3.6,305,146,159,0.479,0.26,0.295,7.18,0.067,"unearned_overissuance"
"1","rule3076","rawgross < 0.5 & shelter_expenses >= 1524",2,"INCLUDE",5.943,0.565,0.9,77,36,41,0.468,0.064,0.089,7.01,0.067,"unearned_overissuance"
"1","rule9923","unc_rawben_rel_max >= 1.872 & shelter_expenses >= 837 & total_deductions >= 634.5",3,"INCLUDE",3.047,0.481,2.6,216,101,115,0.468,0.18,0.214,7.01,0.067,"unearned_overissuance"
