"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 589 & unc_rawben_rel_max > 0.156 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",32,0.875,0.6838,251.75,0,0,0,1,1,28,"shelter deduction 0.45; dep care or child support deduction 0.20; medical deduction 0.20","wrong amount, known item 0.42; wrong include/exclude decision 0.35",0.4,1,0.775,0.6
2,"core","earned_by_hh_size <= 642 & medical_deductions > 152 & unc_rawben_rel_max > 0.268 & utilities_sua > 0.5","1","state","ranger","any_error",31,0.7742,0.5672,86.87,0,0,0,31,31,314,"medical deduction 0.48; shelter deduction 0.23; unearned income 0.17","wrong include/exclude decision 0.59; wrong amount, known item 0.21",0.465957446808511,0.945859872611465,0.65531914893617,0.653191489361702
3,"core","gross_by_hh_size < 1190 & medical_deductions >= 114 & utilities_sua >= 1","1","state","xgboost","any_error",31,0.7742,0.5672,62.19,0,0,0,31,16,240,"medical deduction 0.51; shelter deduction 0.18; unearned income 0.16","wrong include/exclude decision 0.68; wrong amount, known item 0.15",0.465875370919881,0.933333333333333,0.682492581602374,0.70414201183432
4,"core","gross_by_hh_size < 779 & total_deductions_by_hh_size >= 369 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02","1","national","xgboost","any_error",193,0.6425,0.5594,99.34,0,0,0,3,3,124,"unearned income 0.73; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.15",0.513661202185792,1,0.39344262295082,0.695652173913043
5,"core","elderly_disabled_i >= 1 & months_since_cert_n <= 7.5 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",80,0.675,0.5455,143.44,0,0,0,2,1,54,"shelter deduction 0.56; medical deduction 0.12; unearned income 0.12","wrong include/exclude decision 0.50; wrong amount, known item 0.30",0.225,0.981481481481482,0.775,0.4625
6,"core","gross_by_hh_size > 442 & shelter_expenses_by_hh_size <= 1150 & unc_rawben_rel_max > 0.488 & unearned_by_hh_size > 1040","1","state","ranger","any_error",38,0.6842,0.4956,104.18,0.0263,0.0385,0.0263,38,24,284,"medical deduction 0.30; shelter deduction 0.27; unearned income 0.19","wrong include/exclude decision 0.61; wrong amount, known item 0.20",0.434567901234568,0.866197183098592,0.622222222222222,0.669135802469136
7,"core","elderly_disabled_i >= 1 & rawben_rel_max > 0.463 & shelter_expenses_by_hh_size > 951 & utilities_sua <= 0.5","1","national","ranger","any_error",140,0.5857,0.4875,103.59,0.0214,0.0122,0.0071,4,4,82,"shelter deduction 0.47; utility allowance 0.34","wrong include/exclude decision 0.61; change in circumstances 0.14; wrong amount, known item 0.13",0.251612903225806,0.98780487804878,0.593548387096774,0.464516129032258
8,"core","total_deductions_by_hh_size > 145 & unc_rawben_rel_max > 0.998 & unc_rawben_rel_max <= 1.03 & utilities_sua <= 0.5","1","national","ranger","any_error",162,0.5741,0.4828,98.15,0,0,0,3,2,93,"unearned income 0.39; shelter deduction 0.33; utility allowance 0.22","wrong include/exclude decision 0.62; wrong amount, known item 0.14",0.455172413793103,1,0.551724137931034,0.586206896551724
9,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities_sua < 2","1","national","xgboost","any_error",149,0.5638,0.4687,105.8,0.0336,0.0476,0.0268,18,9,84,"shelter deduction 0.40; utility allowance 0.29; medical deduction 0.16","wrong include/exclude decision 0.66; wrong amount, known item 0.14",0.363013698630137,0.988095238095238,0.595890410958904,0.561643835616438
10,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 0.993 & shelter_expenses_by_hh_size < 577 & unc_rawben_rel_max < 1.01","1","national","xgboost","any_error",183,0.5464,0.4607,98.83,0,0,0,1,1,100,"unearned income 0.78","wrong include/exclude decision 0.58; unreported source of income 0.22",0.496,0.99,0.472,0.672
11,"core","months_since_cert_n <= 20 & total_deductions_by_hh_size > 658 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 131","2-3","national","ranger","any_error",144,0.5556,0.459,119.19,0,0,0,6,5,80,"shelter deduction 0.34; medical deduction 0.20; unearned income 0.19; earned income 0.16","wrong include/exclude decision 0.38; wrong amount, known item 0.36; unreported source of income 0.09",0.3125,0.9375,0.671875,0.5
12,"core","medical_deductions <= 122 & rawben_rel_max > 0.997 & unearned_by_hh_size > 401 & utilities_sua <= 0.5","1","national","ranger","any_error",141,0.5319,0.4348,89.79,0,0,0,3,2,75,"unearned income 0.39; shelter deduction 0.32; utility allowance 0.24","wrong include/exclude decision 0.61; wrong amount, known item 0.14; unreported source of income 0.11",0.447368421052632,1,0.526315789473684,0.578947368421053
13,"core","earned_by_hh_size >= 540 & months_since_cert_n >= 6 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",217,0.5115,0.4333,114.67,0,0,0,10,10,111,"earned income 0.64; other element 0.16","unreported source of income 0.27; change in circumstances 0.25; wrong include/exclude decision 0.15; wrong amount, known item 0.12",0.247191011235955,0.990990990990991,0.213483146067416,0.279329608938547
14,"core","rawben_rel_max > 0.976 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 466","2-3","national","ranger","any_error",88,0.5455,0.423,135,0,0,0,2,1,48,"shelter deduction 0.51; medical deduction 0.15; unearned income 0.15","wrong amount, known item 0.44; wrong include/exclude decision 0.41",0.28169014084507,0.979166666666667,0.746478873239437,0.591549295774648
15,"core","earned_by_hh_size > 444 & unc_rawben_rel_max > 1.34 & utilities_sua <= 0.5","1","national","ranger","any_error",36,0.6111,0.4198,158.25,0,0,0,2,1,22,"earned income 0.58; shelter deduction 0.22","wrong amount, known item 0.31; wrong include/exclude decision 0.28; unreported source of income 0.22",0.444444444444444,1,0.5,0.5
16,"core","gross_by_hh_size >= 978 & rawben_rel_max >= 0.312 & shelter_expenses_by_hh_size >= 921 & utilities_sua < 1","1","national","xgboost","any_error",147,0.5102,0.4157,88.33,0.034,0.04,0.0204,5,3,75,"shelter deduction 0.44; utility allowance 0.33","wrong include/exclude decision 0.57; wrong amount, known item 0.15; change in circumstances 0.14",0.184397163120567,0.973333333333333,0.602836879432624,0.425531914893617
17,"core","earned_by_hh_size >= 65 & unc_rawben_rel_max >= 1.08 & unc_rawben_rel_max < 1.09","4+","national","xgboost","any_error",137,0.5109,0.4131,163.09,0,0,0,2,2,70,"earned income 0.77","unreported source of income 0.31; wrong include/exclude decision 0.22; wrong amount, known item 0.20; change in circumstances 0.13",0.440860215053763,0.985714285714286,0.634408602150538,0.526881720430108
18,"core","shelter_expenses_by_hh_size >= 414 & total_deductions_by_hh_size >= 182 & total_deductions_by_hh_size < 191 & unearned_by_hh_size < 230","4+","national","xgboost","any_error",31,0.6129,0.4076,174.35,0,0,0,2,1,19,"earned income 0.64; unearned income 0.16","unreported source of income 0.48; wrong amount, known item 0.24; change in circumstances 0.12",0.2,0.736842105263158,0.44,0.32
19,"core","earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 813 & total_deductions_by_hh_size < 894","1","national","xgboost","any_error",194,0.4845,0.4026,102.02,0,0,0,2,1,94,"earned income 0.63; other element 0.16","unreported source of income 0.23; change in circumstances 0.23; wrong include/exclude decision 0.18; wrong amount, known item 0.17",0.251655629139073,0.968085106382979,0.377483443708609,0.311258278145695
20,"core","earned_by_hh_size > 693 & shelter_expenses_by_hh_size <= 476 & total_deductions_by_hh_size > 441","4+","national","ranger","any_error",50,0.56,0.3989,124.56,0,0,0,1,1,28,"dep care or child support deduction 0.38; earned income 0.31; shelter deduction 0.17","wrong amount, known item 0.50; wrong include/exclude decision 0.29",0.288461538461538,0.785714285714286,0.730769230769231,0.403846153846154
21,"core","shelter_expenses_by_hh_size >= 343 & unc_rawben_rel_max >= 1.08 & unc_rawben_rel_max < 1.1","4+","national","xgboost","any_error",48,0.5625,0.3982,150.06,0,0,0,2,1,27,"earned income 0.74; shelter deduction 0.11","unreported source of income 0.42; wrong include/exclude decision 0.18; wrong amount, known item 0.16",0.447368421052632,1,0.631578947368421,0.5
22,"buffer","gross_by_hh_size < 269 & shelter_expenses_by_hh_size >= 202 & unc_rawben_rel_max >= 1.08 & unc_rawben_rel_max < 1.09","4+","national","xgboost","any_error",122,0.5,0.397,162.34,0,0,0,2,1,61,"earned income 0.73; unearned income 0.08","unreported source of income 0.37; wrong amount, known item 0.19; wrong include/exclude decision 0.19",0.409638554216867,0.983606557377049,0.626506024096386,0.469879518072289
23,"buffer","medical_deductions >= 301 & unc_rawben_rel_max >= 0.745","2-3","national","xgboost","any_error",40,0.575,0.3952,130.8,0,0,0,2,1,23,"medical deduction 0.50; shelter deduction 0.23; unearned income 0.15","wrong include/exclude decision 0.62; wrong amount, known item 0.15",0.525,0.91304347826087,0.575,0.775
24,"buffer","earned_by_hh_size >= 133 & total_deductions_by_hh_size < 244 & unc_rawben_rel_max >= 1.08 & unc_rawben_rel_max < 1.1","4+","national","xgboost","any_error",105,0.5048,0.3939,159.44,0,0,0,2,1,53,"earned income 0.76","unreported source of income 0.39; wrong include/exclude decision 0.21; wrong amount, known item 0.16",0.4,0.981132075471698,0.614285714285714,0.457142857142857
25,"buffer","elderly_disabled_i >= 1 & months_since_cert_n >= 11 & shelter_expenses_by_hh_size >= 1010 & utilities_sua < 1","1","national","xgboost","any_error",57,0.5439,0.3934,102.79,0.0175,0.0323,0.0175,2,1,31,"shelter deduction 0.46; utility allowance 0.37","wrong include/exclude decision 0.54; change in circumstances 0.20; wrong amount, known item 0.15",0.2,1,0.4,0.369230769230769
26,"buffer","earned_by_hh_size > 0.5 & earned_by_hh_size <= 4 & rawben_rel_max <= 0.997 & total_deductions_by_hh_size > 144","1","national","ranger","any_error",51,0.549,0.3901,68.86,0,0,0,2,2,28,"earned income 0.76","unreported source of income 0.33; change in circumstances 0.27; wrong include/exclude decision 0.15",0.303030303030303,0.964285714285714,0.333333333333333,0.454545454545455
27,"buffer","rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 1640 & total_deductions_by_hh_size > 0.25 & unc_rawben_rel_max <= 1.03","1","national","ranger","any_error",147,0.483,0.3894,97.63,0,0,0,3,2,71,"shelter deduction 0.41; unearned income 0.38","wrong include/exclude decision 0.44; wrong amount, known item 0.21; unreported source of income 0.20",0.290322580645161,0.985915492957746,0.634408602150538,0.436170212765957
28,"buffer","earned_by_hh_size <= 364 & rawben_rel_max <= 0.971 & shelter_expenses_by_hh_size > 218 & total_deductions_by_hh_size <= 244","4+","state","ranger","any_error",45,0.5556,0.3867,147.31,0.0444,0.08,0.0444,45,45,490,"unearned income 0.31; earned income 0.30; shelter deduction 0.20","wrong amount, known item 0.33; wrong include/exclude decision 0.24; unreported source of income 0.13; household composition 0.09",0.426845637583893,0.716326530612245,0.649664429530201,0.58611481975968
29,"buffer","HH_size_n <= 2.5 & medical_deductions > 138 & total_deductions_by_hh_size > 520 & unearned_by_hh_size <= 1360","2-3","national","ranger","any_error",124,0.4839,0.3824,90.82,0.0081,0.0167,0.0081,4,2,60,"medical deduction 0.33; shelter deduction 0.32; unearned income 0.23","wrong include/exclude decision 0.53; wrong amount, known item 0.24",0.457446808510638,0.966666666666667,0.542553191489362,0.595744680851064
30,"buffer","shelter_expenses_by_hh_size >= 2340 & total_deductions_by_hh_size >= 1190 & unc_rawben_rel_max < 1.03","1","national","xgboost","any_error",52,0.5385,0.3818,89.4,0.0769,0.1429,0.0769,3,2,28,"shelter deduction 0.33; earned income 0.23; unearned income 0.14; other element 0.12","wrong include/exclude decision 0.42; wrong amount, known item 0.28; unreported source of income 0.12",0.488372093023256,0.892857142857143,0.465116279069767,0.581395348837209
31,"buffer","medical_deductions >= 185 & medical_deductions < 265 & rawben_rel_max >= 0.353","2-3","national","xgboost","any_error",50,0.54,0.3803,70.88,0,0,0,2,2,27,"medical deduction 0.45; shelter deduction 0.29; unearned income 0.21","wrong include/exclude decision 0.63; wrong amount, known item 0.29",0.447368421052632,0.888888888888889,0.394736842105263,0.631578947368421
