"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 589 & unc_rawben_rel_max > 0.156 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",32,0.875,0.6838,251.75,0,0,0,1,1,28,"shelter deduction 0.45; dep care or child support deduction 0.20; medical deduction 0.20","wrong amount, known item 0.42; wrong include/exclude decision 0.35",0.4,1,0.775,0.6
2,"core","elderly_disabled_i >= 1 & months_since_cert_n <= 7.5 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",80,0.675,0.5455,143.44,0,0,0,1,1,54,"shelter deduction 0.56; medical deduction 0.12; unearned income 0.12","wrong include/exclude decision 0.50; wrong amount, known item 0.30",0.225,0.981481481481482,0.775,0.4625
3,"core","gross_by_hh_size < 814 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 325","1","national","xgboost","any_error",257,0.5875,0.515,91.41,0,0,0,1,1,151,"unearned income 0.74; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.16",0.52073732718894,1,0.391705069124424,0.688073394495413
4,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities < 284","1","national","xgboost","any_error",133,0.594,0.4931,112.47,0.0075,0,0,3,3,79,"shelter deduction 0.42; utility allowance 0.28; medical deduction 0.17","wrong include/exclude decision 0.65; wrong amount, known item 0.15",0.354609929078014,0.987341772151899,0.588652482269504,0.560283687943262
5,"core","rawben_rel_max >= 1 & unc_rawben_rel_max < 1.04 & unearned_by_hh_size >= 384 & utilities < 391","1","national","xgboost","any_error",506,0.5237,0.4721,86.92,0,0,0,10,10,265,"unearned income 0.45; shelter deduction 0.33","wrong include/exclude decision 0.56; wrong amount, known item 0.15; unreported source of income 0.11",0.373961218836565,0.992452830188679,0.523545706371191,0.581717451523546
6,"core","medical_deductions > 138 & shelter_expenses_by_hh_size > 904 & utilities <= 786","2-3","national","ranger","any_error",38,0.6579,0.4696,99.58,0,0,0,1,1,25,"shelter deduction 0.51; medical deduction 0.23; unearned income 0.20","wrong include/exclude decision 0.57; wrong amount, known item 0.29",0.342857142857143,0.92,0.628571428571429,0.571428571428571
7,"core","earned_by_hh_size >= 125 & earned_by_hh_size < 190 & shelter_expenses_by_hh_size >= 320 & unc_rawben_rel_max >= 1.08","4+","national","xgboost","any_error",66,0.5758,0.4339,177.64,0,0,0,3,3,38,"earned income 0.75; shelter deduction 0.10","unreported source of income 0.39; wrong amount, known item 0.16; wrong include/exclude decision 0.16; change in circumstances 0.14",0.470588235294118,0.973684210526316,0.568627450980392,0.490196078431373
8,"core","earned_by_hh_size >= 589 & earned_by_hh_size < 592 & gross_by_hh_size >= 20 & unc_rawben_rel_max >= 0.0819","1","national","xgboost","any_error",70,0.5714,0.4337,120.87,0,0,0,2,2,40,"earned income 0.61; other element 0.12; shelter deduction 0.10","wrong include/exclude decision 0.24; change in circumstances 0.22; unreported source of income 0.22; wrong amount, known item 0.16",0.26865671641791,0.975,0.388059701492537,0.26865671641791
9,"core","earned_by_hh_size <= 13.3 & married >= 1 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",41,0.6098,0.4299,136.12,0,0,0,1,1,25,"shelter deduction 0.67; medical deduction 0.20","wrong amount, known item 0.50; wrong include/exclude decision 0.43",0.5,1,0.7,0.733333333333333
10,"core","earned_by_hh_size >= 535 & shelter_expenses_by_hh_size < 925 & unc_rawben_rel_max >= 1.4","1","national","xgboost","any_error",61,0.5738,0.4265,131.8,0,0,0,1,1,35,"earned income 0.63; other element 0.13","change in circumstances 0.24; unreported source of income 0.22; wrong amount, known item 0.19; wrong include/exclude decision 0.15",0.39622641509434,1,0.566037735849057,0.407407407407407
