"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
1,"core","total_deductions_by_hh_size <= 293 & unc_rawben_rel_max > 1 & unc_rawben_rel_max <= 1.01 & unearned_by_hh_size > 334","1","national","ranger","any_error",70,0.7286,0.5919,145.9,0,0,0,3,3,51,"unearned income 0.80","wrong include/exclude decision 0.58; unreported source of income 0.23",0.454545454545455,0.980392156862745,0.545454545454545,0.606060606060606
2,"core","gross_by_hh_size > 531 & unc_rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",54,0.7407,0.5848,201.63,0,0,0,1,1,40,"shelter deduction 0.48; dep care or child support deduction 0.20; medical deduction 0.18","wrong include/exclude decision 0.41; wrong amount, known item 0.41",0.321428571428571,1,0.803571428571429,0.589285714285714
3,"core","rawben_rel_max > 0.999 & total_deductions_by_hh_size > 347 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 130","2-3","national","ranger","any_error",70,0.7143,0.5769,166.06,0,0,0,1,1,50,"shelter deduction 0.55; medical deduction 0.16; unearned income 0.11","wrong amount, known item 0.41; wrong include/exclude decision 0.41",0.315068493150685,0.98,0.712328767123288,0.547945205479452
4,"core","gross_by_hh_size < 779 & total_deductions_by_hh_size >= 369 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.02","1","national","xgboost","any_error",193,0.6425,0.5594,99.34,0,0,0,5,5,124,"unearned income 0.73; shelter deduction 0.16","wrong include/exclude decision 0.46; wrong amount, known item 0.22; unreported source of income 0.15",0.513661202185792,1,0.39344262295082,0.695652173913043
5,"core","elderly_disabled_i >= 1 & rawben_rel_max > 0.463 & shelter_expenses_by_hh_size > 951 & utilities_sua <= 0.5","1","national","ranger","any_error",140,0.5857,0.4875,103.59,0.0214,0.0122,0.0071,1,1,82,"shelter deduction 0.47; utility allowance 0.34","wrong include/exclude decision 0.61; change in circumstances 0.14; wrong amount, known item 0.13",0.251612903225806,0.98780487804878,0.593548387096774,0.464516129032258
6,"core","elderly_disabled_i >= 1 & rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1 & utilities_sua > 0.5","2-3","national","ranger","any_error",107,0.5981,0.4857,120.29,0,0,0,2,1,64,"shelter deduction 0.58; medical deduction 0.15; unearned income 0.11","wrong include/exclude decision 0.48; wrong amount, known item 0.36",0.292134831460674,0.984375,0.730337078651685,0.50561797752809
7,"core","total_deductions_by_hh_size > 145 & unc_rawben_rel_max > 0.998 & unc_rawben_rel_max <= 1.03 & utilities_sua <= 0.5","1","national","ranger","any_error",162,0.5741,0.4828,98.15,0,0,0,6,4,93,"unearned income 0.39; shelter deduction 0.33; utility allowance 0.22","wrong include/exclude decision 0.62; wrong amount, known item 0.14",0.455172413793103,1,0.551724137931034,0.586206896551724
8,"core","rawben_rel_max >= 0.893 & total_deductions_by_hh_size >= 16.5 & unearned_by_hh_size >= 866 & utilities_sua < 2","1","national","xgboost","any_error",149,0.5638,0.4687,105.8,0.0336,0.0476,0.0268,4,2,84,"shelter deduction 0.40; utility allowance 0.29; medical deduction 0.16","wrong include/exclude decision 0.66; wrong amount, known item 0.14",0.363013698630137,0.988095238095238,0.595890410958904,0.561643835616438
9,"core","medical_deductions > 138 & unc_rawben_rel_max > 0.49 & unearned_by_hh_size > 1270 & utilities_sua <= 1.5","1","national","ranger","any_error",30,0.6667,0.4552,131.43,0.0333,0.05,0.0333,1,1,20,"medical deduction 0.40; shelter deduction 0.20; utility allowance 0.17","wrong include/exclude decision 0.60; wrong amount, known item 0.20",0.525,1,0.625,0.525
10,"core","rawben_rel_max >= 1 & total_deductions_by_hh_size < 646 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size >= 421","1","national","xgboost","any_error",468,0.5085,0.455,79.54,0,0,0,16,9,238,"unearned income 0.68; shelter deduction 0.22","wrong include/exclude decision 0.51; wrong amount, known item 0.17; unreported source of income 0.15",0.466049382716049,0.995798319327731,0.45679012345679,0.633846153846154
11,"core","earned_by_hh_size >= 589 & earned_by_hh_size < 592 & gross_by_hh_size >= 20 & unc_rawben_rel_max >= 0.0819","1","national","xgboost","any_error",70,0.5714,0.4337,120.87,0,0,0,1,1,40,"earned income 0.61; other element 0.12; shelter deduction 0.10","wrong include/exclude decision 0.24; change in circumstances 0.22; unreported source of income 0.22; wrong amount, known item 0.16",0.26865671641791,0.975,0.388059701492537,0.26865671641791
12,"core","earned_by_hh_size >= 255 & elderly_disabled_i >= 1 & gross_by_hh_size < 627 & months_since_cert_n >= 10","4+","national","xgboost","any_error",37,0.6216,0.4322,109.86,0.027,0.0435,0.027,2,2,23,"earned income 0.40; unearned income 0.20; shelter deduction 0.17","wrong amount, known item 0.34; wrong include/exclude decision 0.26; change in circumstances 0.11; other 0.09",0.485714285714286,0.695652173913043,0.4,0.714285714285714
13,"core","earned_by_hh_size >= 540 & shelter_expenses_by_hh_size < 874 & unc_rawben_rel_max >= 1.4","1","national","xgboost","any_error",47,0.5957,0.4279,149.83,0,0,0,1,1,28,"earned income 0.60; other element 0.16","unreported source of income 0.24; change in circumstances 0.24; wrong include/exclude decision 0.18; wrong amount, known item 0.16",0.386363636363636,1,0.613636363636364,0.4
14,"core","rawben_rel_max > 0.976 & unc_rawben_rel_max <= 1 & unearned_by_hh_size > 466","2-3","national","ranger","any_error",88,0.5455,0.423,135,0,0,0,1,1,48,"shelter deduction 0.51; medical deduction 0.15; unearned income 0.15","wrong amount, known item 0.44; wrong include/exclude decision 0.41",0.28169014084507,0.979166666666667,0.746478873239437,0.591549295774648
15,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 0.773 & shelter_expenses_by_hh_size >= 634 & utilities_sua < 1","1","national","xgboost","any_error",222,0.5,0.4229,84.77,0.009,0,0,6,4,111,"shelter deduction 0.43; utility allowance 0.30; unearned income 0.12","wrong include/exclude decision 0.61; wrong amount, known item 0.14",0.293814432989691,0.972972972972973,0.582474226804124,0.469072164948454
16,"core","gross_by_hh_size >= 978 & rawben_rel_max >= 0.312 & shelter_expenses_by_hh_size >= 921 & utilities_sua < 1","1","national","xgboost","any_error",147,0.5102,0.4157,88.33,0.034,0.04,0.0204,1,1,75,"shelter deduction 0.44; utility allowance 0.33","wrong include/exclude decision 0.57; wrong amount, known item 0.15; change in circumstances 0.14",0.184397163120567,0.973333333333333,0.602836879432624,0.425531914893617
17,"core","earned_by_hh_size >= 65 & unc_rawben_rel_max >= 1.08 & unc_rawben_rel_max < 1.09","4+","national","xgboost","any_error",137,0.5109,0.4131,163.09,0,0,0,3,3,70,"earned income 0.77","unreported source of income 0.31; wrong include/exclude decision 0.22; wrong amount, known item 0.20; change in circumstances 0.13",0.440860215053763,0.985714285714286,0.634408602150538,0.526881720430108
18,"core","shelter_expenses_by_hh_size > 378 & unc_rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",127,0.5118,0.4103,100.87,0,0,0,3,2,65,"shelter deduction 0.56; medical deduction 0.11; unearned income 0.11","wrong include/exclude decision 0.46; wrong amount, known item 0.37",0.311827956989247,0.969230769230769,0.78494623655914,0.537634408602151
19,"core","shelter_expenses_by_hh_size >= 414 & total_deductions_by_hh_size >= 182 & total_deductions_by_hh_size < 191 & unearned_by_hh_size < 230","4+","national","xgboost","any_error",31,0.6129,0.4076,174.35,0,0,0,1,1,19,"earned income 0.64; unearned income 0.16","unreported source of income 0.48; wrong amount, known item 0.24; change in circumstances 0.12",0.2,0.736842105263158,0.44,0.32
20,"core","earned_by_hh_size > 42.8 & expedited_i <= 0 & months_since_cert_n > 5.5 & total_deductions_by_hh_size > 431","4+","national","ranger","any_error",39,0.5897,0.4068,176.95,0,0,0,2,2,23,"dep care or child support deduction 0.30; earned income 0.27; unearned income 0.16; other element 0.11","wrong amount, known item 0.32; wrong include/exclude decision 0.27; change in circumstances 0.16",0.314285714285714,0.91304347826087,0.428571428571429,0.432432432432432
21,"core","earned_by_hh_size >= 580 & earned_by_hh_size < 630 & shelter_expenses_by_hh_size >= 813 & total_deductions_by_hh_size < 894","1","national","xgboost","any_error",194,0.4845,0.4026,102.02,0,0,0,2,1,94,"earned income 0.63; other element 0.16","unreported source of income 0.23; change in circumstances 0.23; wrong include/exclude decision 0.18; wrong amount, known item 0.17",0.251655629139073,0.968085106382979,0.377483443708609,0.311258278145695
22,"core","gross_by_hh_size >= 892 & medical_deductions >= 151 & shelter_expenses_by_hh_size < 895 & unc_rawben_rel_max >= 1.02","1","national","xgboost","any_error",52,0.5577,0.3997,97.44,0,0,0,1,1,29,"medical deduction 0.67; shelter deduction 0.19","wrong include/exclude decision 0.70; wrong amount, known item 0.16",0.534883720930233,0.96551724137931,0.720930232558139,0.767441860465116
23,"core","earned_by_hh_size > 364 & earned_by_hh_size <= 663 & unc_rawben_rel_max > 1.33 & unc_rawben_rel_max <= 1.37","1","national","ranger","any_error",280,0.4643,0.3963,100.58,0,0,0,5,4,130,"earned income 0.68; shelter deduction 0.12","unreported source of income 0.30; change in circumstances 0.20; wrong include/exclude decision 0.19; wrong amount, known item 0.17",0.238578680203046,0.984615384615385,0.401015228426396,0.269035532994924
24,"core","medical_deductions >= 167 & shelter_expenses_by_hh_size < 776 & total_deductions_by_hh_size >= 495 & unc_rawben_rel_max >= -0.0109","2-3","national","xgboost","any_error",57,0.5439,0.3934,105.46,0,0,0,1,1,31,"medical deduction 0.49; shelter deduction 0.19; unearned income 0.19","wrong include/exclude decision 0.56; wrong amount, known item 0.16; other 0.09",0.526315789473684,1,0.578947368421053,0.649122807017544
25,"core","gross_by_hh_size <= 1170 & medical_deductions > 176 & rawben_rel_max > 0.647 & unc_rawben_rel_max <= 1.02","2-3","national","ranger","any_error",62,0.5323,0.3883,87.95,0.0161,0.0303,0.0161,2,1,33,"medical deduction 0.47; shelter deduction 0.23; unearned income 0.19","wrong include/exclude decision 0.60; wrong amount, known item 0.16",0.491228070175439,0.939393939393939,0.614035087719298,0.614035087719298
26,"core","total_deductions_by_hh_size > 659 & unc_rawben_rel_max > 0.42 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",224,0.4598,0.3842,98.68,0.0045,0.0097,0.0045,1,1,103,"shelter deduction 0.27; earned income 0.21; dep care or child support deduction 0.18; unearned income 0.14","wrong include/exclude decision 0.40; wrong amount, known item 0.34; unreported source of income 0.09",0.337662337662338,0.883495145631068,0.642857142857143,0.551948051948052
27,"core","HH_size_n <= 2.5 & medical_deductions > 138 & total_deductions_by_hh_size > 520 & unearned_by_hh_size <= 1360","2-3","national","ranger","any_error",124,0.4839,0.3824,90.82,0.0081,0.0167,0.0081,2,2,60,"medical deduction 0.33; shelter deduction 0.32; unearned income 0.23","wrong include/exclude decision 0.53; wrong amount, known item 0.24",0.457446808510638,0.966666666666667,0.542553191489362,0.595744680851064
28,"core","gross_by_hh_size > 950 & unc_rawben_rel_max > 0.612 & unearned_by_hh_size > 175 & utilities_sua <= 0.5","1","national","ranger","any_error",166,0.4699,0.3822,80.23,0.006,0,0,4,2,78,"shelter deduction 0.39; utility allowance 0.30; medical deduction 0.16","wrong include/exclude decision 0.62; wrong amount, known item 0.16",0.319148936170213,0.91025641025641,0.595744680851064,0.546099290780142
29,"core","shelter_expenses_by_hh_size >= 150 & unc_rawben_rel_max >= 1.08 & unc_rawben_rel_max < 1.11 & unearned_by_hh_size < 0.25","4+","national","xgboost","any_error",164,0.4695,0.3813,152.71,0,0,0,2,1,77,"earned income 0.76","unreported source of income 0.26; wrong amount, known item 0.23; wrong include/exclude decision 0.22; change in circumstances 0.11",0.46078431372549,0.961038961038961,0.647058823529412,0.529411764705882
30,"core","elderly_disabled_i >= 1 & months_since_cert_n > 6.5 & unc_rawben_rel_max <= 1 & unearned_by_hh_size <= 115","4+","national","ranger","any_error",46,0.5435,0.3773,112.8,0.0217,0.04,0.0217,1,1,25,"unearned income 0.31; earned income 0.31; shelter deduction 0.21","wrong amount, known item 0.26; wrong include/exclude decision 0.23; unreported source of income 0.13; change in circumstances 0.13; other 0.08",0.421052631578947,0.84,0.315789473684211,0.512820512820513
31,"core","elderly_disabled_i >= 1 & rawben_rel_max >= 1 & unc_rawben_rel_max < 1.02 & unearned_by_hh_size < 421","1","national","xgboost","any_error",122,0.4754,0.3735,86.61,0,0,0,4,2,58,"unearned income 0.79","wrong include/exclude decision 0.48; unreported source of income 0.27",0.424657534246575,1,0.479452054794521,0.616438356164384
32,"core","earned_by_hh_size > 0.0556 & expedited_i <= 0 & HH_size_n > 4.5 & total_deductions_by_hh_size > 366","4+","national","ranger","any_error",49,0.5306,0.3702,106.43,0,0,0,1,1,26,"dep care or child support deduction 0.38; earned income 0.31; shelter deduction 0.19","wrong amount, known item 0.36; wrong include/exclude decision 0.33; other 0.10",0.547619047619048,0.884615384615385,0.761904761904762,0.523809523809524
33,"core","gross_by_hh_size >= 66 & months_since_cert_n >= 11 & total_deductions_by_hh_size >= 236 & total_deductions_by_hh_size < 261","4+","national","xgboost","any_error",36,0.5556,0.3685,91.06,0,0,0,1,1,20,"earned income 0.42; other element 0.17; unearned income 0.17","wrong amount, known item 0.31; wrong include/exclude decision 0.22; method or computation 0.14; change in circumstances 0.11",0.361111111111111,0.65,0.694444444444444,0.527777777777778
34,"core","earned_by_hh_size >= 622 & earned_by_hh_size < 630 & total_deductions_by_hh_size < 804","1","national","xgboost","any_error",93,0.4839,0.3676,102.15,0.0108,0.0222,0.0108,2,2,45,"earned income 0.63; shelter deduction 0.14","unreported source of income 0.28; change in circumstances 0.21; wrong amount, known item 0.20; wrong include/exclude decision 0.14",0.197183098591549,0.955555555555556,0.464788732394366,0.338028169014085
35,"core","earned_by_hh_size > 0.1 & gross_by_hh_size > 165 & unc_rawben_rel_max > 1.08 & unearned_by_hh_size <= 0.155","4+","national","ranger","any_error",99,0.4747,0.3624,160.61,0,0,0,1,1,47,"earned income 0.79","unreported source of income 0.36; wrong amount, known item 0.21; wrong include/exclude decision 0.16; change in circumstances 0.11",0.39344262295082,1,0.557377049180328,0.39344262295082
36,"core","earned_by_hh_size > 0.167 & earned_by_hh_size <= 1.83 & gross_by_hh_size > 75.8 & shelter_expenses_by_hh_size <= 624","2-3","national","ranger","any_error",73,0.4932,0.3623,116.25,0,0,0,1,1,36,"earned income 0.80","unreported source of income 0.47; wrong amount, known item 0.20; wrong include/exclude decision 0.09",0.311111111111111,0.972222222222222,0.6,0.355555555555556
37,"core","rawben_rel_max >= 0.972 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 1400","1","national","xgboost","any_error",92,0.4783,0.3617,96.63,0,0,0,1,1,44,"shelter deduction 0.45; unearned income 0.28; medical deduction 0.23","wrong include/exclude decision 0.48; wrong amount, known item 0.27",0.416666666666667,1,0.65,0.566666666666667
38,"core","earned_by_hh_size >= 430 & months_since_cert_n >= 5 & unc_rawben_rel_max >= 1.32","1","national","xgboost","any_error",362,0.4199,0.3612,93.27,0,0,0,2,1,152,"earned income 0.65; other element 0.14","unreported source of income 0.29; change in circumstances 0.25; wrong include/exclude decision 0.15; wrong amount, known item 0.12",0.217573221757322,0.986842105263158,0.225941422594142,0.266666666666667
39,"core","earned_by_hh_size >= 360 & earned_by_hh_size < 366 & shelter_expenses_by_hh_size < 694 & unc_rawben_rel_max >= 0.965","2-3","national","xgboost","any_error",39,0.5385,0.3597,146.44,0,0,0,1,1,21,"earned income 0.81","unreported source of income 0.38; change in circumstances 0.19; wrong amount, known item 0.15; wrong include/exclude decision 0.15",0.307692307692308,0.952380952380952,0.576923076923077,0.384615384615385
40,"core","rawben_rel_max >= 1 & shelter_expenses_by_hh_size >= 1280 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 185","1","national","xgboost","any_error",361,0.4155,0.3569,76.95,0,0,0,2,2,150,"shelter deduction 0.44; unearned income 0.37","wrong include/exclude decision 0.45; wrong amount, known item 0.23; unreported source of income 0.19",0.311881188118812,1,0.599009900990099,0.482758620689655
41,"core","earned_by_hh_size >= 113 & unc_rawben_rel_max >= 1.11 & unc_rawben_rel_max < 1.12","2-3","national","xgboost","any_error",91,0.4725,0.3558,126.68,0,0,0,2,2,43,"earned income 0.69; shelter deduction 0.19","wrong include/exclude decision 0.29; wrong amount, known item 0.26; unreported source of income 0.19; change in circumstances 0.16",0.387096774193548,1,0.516129032258065,0.532258064516129
42,"core","earned_by_hh_size > 16.8 & HH_size_n > 5.5 & total_deductions_by_hh_size > 175 & unearned_by_hh_size > 9.62","4+","national","ranger","any_error",144,0.4444,0.3519,116.56,0.0139,0.0312,0.0139,4,2,64,"earned income 0.30; unearned income 0.23; shelter deduction 0.19; dep care or child support deduction 0.13","wrong include/exclude decision 0.29; wrong amount, known item 0.29; unreported source of income 0.11; method or computation 0.08",0.352941176470588,0.703125,0.588235294117647,0.579831932773109
